title,description,category,datatype,text
Wallin_Family,American family of traditional ballad singers,singer,A,"Tyson Luke Fury (born 12 August 1988) is a British professional boxer of Irish Traveller descent. He is a two-time world heavyweight champion, having held the WBC and Ring magazine titles since defeating Deontay Wilder in 2020; previously he held the unified WBA (Super), IBF, WBO, IBO, and The Ring titles after defeating Wladimir Klitschko in 2015. With his defeat of Wilder, Fury became the third heavyweight, after Floyd Patterson and Muhammad Ali, to hold The Ring magazine title twice, and is widely considered by media outlets to be the lineal heavyweight champion. As of December 2020, Fury is ranked as the world's best active heavyweight by ESPN, the Transnational Boxing Rankings Board (TBRB), and BoxRec, as well as the second-best active boxer, pound for pound, by BoxRec, sixth by the TBRB, and eighth by ESPN.As an amateur, Fury represented both England and Ireland, as he was born in Manchester to an Irish Traveller family and traced his family lineage to relatives in Belfast and Galway. He won the ABA super-heavyweight title in 2008 before turning professional later that year at 20 years of age. After winning the English heavyweight title twice, he became the British and Commonwealth champion in 2011 by defeating the 14–0 Derek Chisora. He then won the Irish and WBO Inter-Continental titles, before defeating Chisora again in a 2014 rematch for the European and WBO International heavyweight titles. This success, along with his 24–0 record, set up a match with the long-reigning world champion Wladimir Klitschko in Germany, which Fury won by unanimous decision. Fury was stripped of his IBF title 10 days after the Klitschko bout as he was unable to grant a fight with the IBF's mandatory challenger, Vyacheslav Glazkov, due to a rematch clause in his contract with Klitschko. The rematch did not materialise as Fury suffered from mental health issues leading to alcoholism, recreational drug use and extreme weight gain."
Grégory_Ken,French singer,singer,A,"Eldred Gregory Peck (April 5, 1916 – June 12, 2003)  was an American actor. He was one of the most popular film stars from the 1940s to the 1960s. In 1999, the American Film Institute named Peck among 25 Greatest Male Stars of Classic Hollywood Cinema, ranking him at No. 12. After studying at the Neighborhood Playhouse with Sanford Meisner, he began appearing in stage productions, acting in over fifty plays and three Broadway productions. Peck first gained critical success in The Keys of the Kingdom (1944), a John M. Stahl–directed drama which earned him his first Academy Award nomination. He starred in a series of successful films, including romantic-drama The Valley of Decision (1944), Alfred Hitchcock's Spellbound (1945), and family film The Yearling (1946). He encountered lukewarm commercial reviews at the end of the 1940s, his performances including The Paradine Case (1947) and The Great Sinner (1948). Peck reached global recognition in the 1950s and 1960s, appearing back-to-back in the book-to-film adaptation of Captain Horatio Hornblower (1951) and biblical drama David and Bathsheba (1951), both of which were commercial successes. He starred alongside Ava Gardner in The Snows of Kilimanjaro (1952) and Audrey Hepburn in Roman Holiday (1953), which earned Peck a Golden Globe award."
Elisabeth_Carew,Norwegian musician,singer,A,"Elisabeth Carew (born 13 June 1985) is a Norwegian singer and songwriter. Carew is best known for competing in Melodi Grand Prix 2010 and 2014. == Career ==


=== Melodi Grand Prix 2010 ===
In 2009, Carew was announced as one of the 21 contestants competing in Melodi Grand Prix 2010, the Norwegian national selection for the Eurovision Song Contest 2010. Carew competed in the first semi-final on 8 January 2010 in Ørland hovedflystasjon in Ørland with the song ""Rocketfuel"". She placed 6th out of seven competing songs and was eliminated. === Melodi Grand Prix 2014 ===
In 2014, Carew was announced as one of the contestants in the Norwegian national selection for the Eurovision Song Contest 2014, Melodi Grand Prix 2014. She is competing with the song ""Sole Survivor"". Carew competed in the third semi-final on 9 March 2014 at the Folketeatret in Oslo. She advanced to the finals, which was held on 15 March 2014 in Oslo Spektrum. Despite being a considered a favourite to win the competition, Carew did not make the superfinal and placed 5th-9th in the final."
Tom_Vanstiphout,musician,singer,A,"Tom Vanstiphout (born 29 April 1975) is a Belgian musician who has made four solo albums and has toured with Clouseau, Jan Leyers and Milow. Vanstiphout was born in Kapellen. He started his musical career with Morbid Elly, a short-lived band with his sister which only produced one six song demo tape. He then became a professional musician as a live band member for a number of Belgian artists like Jan Leyers, Clouseau or Milow. He also regularly played with De Laatste Showband in a daily talkshow on Eén.In his solowork, he is mainly influenced by James Taylor. He made his first album, Motion, in 2004, which landed him a number of concerts, a.o. on Folk Dranouter. In 2009, he released a second album, Working Man. In 2013, he released Little Beams of Light and in December 2015 he released Playing Guitar helps. He is often considered one of Belgium's finest musicians, both as a studio musician and as a live performer."
Rod_Lauren,American actor (1940-2007),singer,A,"Roger Lawrence ""Rod"" Strunk (March 20, 1941 – July 11, 2007), popularly known as Rod Lauren, was an American actor and singer. As an actor, he worked mostly in television, appearing in single episodes of Alfred Hitchcock Presents, Combat! and Gomer Pyle, U.S.M.C. amongst others during the 1960s. Lauren's most notable film is The Crawling Hand (1963) which achieved latter-day notoriety when it was featured on Mystery Science Theater 3000. As a singer, Lauren is a one-hit wonder who hit #31 on the Billboard Hot 100 chart with the song ""If I Had a Girl"" in 1960 and performed twice on The Ed Sullivan Show that year. From 1979 to 2001, Lauren, who had since reverted to the use of his given name, Roger Lawrence Strunk, was married to Nida Blanca, a leading Filipino film actress whom Lauren met during the filming of Once Before I Die. After Blanca's body was discovered on November 6, 2001 in the parking lot inside a San Juan City parking garage (she had been stabbed to death), Lauren soon emerged as a suspect behind the killing.He moved back to the United States and was able to successfully fight extradition to the Philippines to face trial for the murder. Other suspects were later charged.On July 11, 2007, Lauren committed suicide by jumping from a second-floor balcony of the Tracy Inn in Tracy, California, where he had been staying for the previous three days. == References ==


== External links ==
Rod Lauren at IMDb
Rod Lauren at AllMusic"
María_Blasco,Spanish singer (1888-1966),singer,A,"Blasco is a surname which roots can be found it in Aragon, more specifically in the Jaca's mountains. == People ==
Blasco de Garay, Spanish navy captain and inventor
Blasco de Grañén, Aragonese painter
Blasco Gardéliz de Ezcároz, bishop of Pamplona
Blasco Giurato, Italian cinematographer
Blasco I d'Alagona, Aragonese nobleman
Blasco II d'Alagona, Sicilian regent
Blasco Núñez Vela, Spanish viceroy of Peru
Carl Blasco, French triathlete
Eduardo Blasco Ferrer, Spanish-Italian linguist
Elena Blasco (born 1950), Spanish artist
Eusebio Blasco, Spanish journalist, poet and playwright
Gregorio Blasco, Spanish footballer
Humberto Blasco, Paraguayan politician
Jesús Blasco, Spanish author and artist
Joan Lerma i Blasco, Spanish politician
Joe Blasco, American makeup artist
José Ruiz y Blasco, Spanish painter and art teacher
Josep Maria Rañé i Blasco, Catalan politician
Manuel Blasco de Nebra, Spanish organist and composer
María Blasco Marhuenda, Spanish biologist
Michele Blasco, Italian painter and architect
Miguel Blasco, Spanish musical producer
Miriam Blasco, Spanish judoka
Paloma Gay y Blasco, social anthropologist
Ruth Gloria Blasco Ibáñez, American film actress
Vicente Blasco Ibáñez, Spanish journalist, politician and novelist
Víctor Blasco, Spanish footballerBetty Peterson Blasco (https://en.m.wikipedia.org/wiki/My_Happiness_(1948_song)#)
, Lyricist of “My Happiness”. Amber Blasco, Celebrity Makeup Artist


== Other ==
Alicante Bouschet, wine grape variety
Avenida de Blasco Ibañez, avenue in the Spanish city of Valencia
Blasco Ibáñez (Madrid Metro), station on Line 1 of the Metro Ligero


== See also ==
Blasko (disambiguation page)"
Papa_Ministre,Ivorian singer,singer,A,"Ange Didier Houon (26  January 1986 – 12 August 2019), known professionally as DJ Arafat, Arafat Muana and various other stage names, was an Ivorian DJ and singer who made music in the Coupé-Décalé genre. ""Jonathan"", ""202"", ""Dosabado"", ""Kpangor"", ""Zoropoto"" and ""Enfant Beni"" were some of his major hits. He was popular in French-speaking countries in Africa. He was awarded the ""Best Artist of the Year"" at the Coupé-Decalé Awards in the year 2016 and 2017. He died in a motorcycle accident on 12 August 2019. == Life and career ==

Arafat was born as Ange Didier Houon on 26 January 1986. He was the son of Tina Glamour, a popular singer, and the deceased musician and sound engineer Pierre Houon. He has an older brother well known as DJ TV3. Ange Didier started his music career in the early 2000s as a DJ when he was only 14 years old in Yopougon, a night-life district in Abidjan. He left for France to improve his career and even overstayed his visa."
Ayşegül_Aldinç,"Turkish singer, actress",singer,A,"Ayşegül Aldinç (Turkish pronunciation: [aːjʃeˈɟyl alˈdintʃ]; born 28 September 1957) is a Turkish singer and actress. == Life and career ==
She is the daughter of journalist and sports writer Orhan Aldinç and painting teacher Süheyla Aldinç. Growing in Cihangir, Due to the works of her mother, she completed her secondary education at the schools in Taksim, Kocamustafapaşa and Feriköy districts. She finished her high school at the Sultanahmet Art School. She finished her studies at Tatbiki Fine Arts Academy Ceramic Department (now called Marmara University Faculty of Fine Arts Ceramics Department). Shortly after her graduation, she worked as an artist at Anafartalar Middle School, and then as a music teacher at Akaretler Middle School in Istanbul.Aldinç later went to Ankara and participated in the Eurovision's primary competitions on TRT at that time and qualified to represent Turkey. She performed with the Modern Folk Trio at the Eurovision Song Contest 1981 in Dublin. Their song, ""Dönme Dolap"" (The carousel), earned the eighteenth place. Aldinç, who worked as a designer for six years in Yıldız Porcelain Factory, started to perform in the casinos in 1985. Her first solo album was released in 1988 with the support of Aysel Gürel, Timur Selçuk and Barış Manço."
Shani_Rigsbee,International singer,singer,A,"Shani Rigsbee  (born May 1, 1967, Hot Springs, Arkansas) is a singer-songwriter, producer, and actress who is known for her support for humanitarian causes. In 2007, she released At The Casbah, a film based on the 1001 Arabian Nights collection of stories. Rigsbee and the Iranian pop star Andy Madadian toured internationally for many years, and they have performed benefits for various charitable organizations. They sang for the Dalai Lama in 2014. Rigsbee and Madadian were married in 2011. She was born in Arkansas and lives in Los Angeles. == Discography ==


=== Albums ===


== Filmography ==


== Soundtrack ==


== References ==


== External links ==
Shani Rigsbee official Facebook
Shani Rigsbee Twitter
Shanirigsbee Instagram
Shani Rigsbee YouTube"
Monique_Coleman,American actress,singer,A,"Monique is a female given name. It is the French form of the name Monica. The name has enjoyed some popularity in the United States since about 1955, and is less common in other English-speaking countries except for Canada although mostly used by French speakers in Quebec and is rare in the English parts of Canada. == Notable people named Monique ==


=== Acting ===
Monique Chaumette (born 1927), French actress
Monique Coleman (born 1980), American actress, singer, and dancer
Monique Gabriela Curnen (born 1970), American actress
Monique Gabrielle (born 1963), American actress
Mo'Nique Hicks (born 1967), American actress and comedian
Monique Leyrac (1928-2019), Canadian singer and actress
Monique Mélinand (1916–2012), French actress
Monique Mercure (born 1930), Canadian actress
Monique Mojica, Canadian playwright, director, and actor
Monique Noel (born 1967), American glamour model and actress
Monique van de Ven (born 1952), Dutch actress and film director
Monique Williams, actress in Australian television series The Sleepover ClubIn music:

Monique Brumby (born 1974), Australian singer-songwriter, guitarist, and producer
Monique Buzzarté (born 1960), American composer, trombonist, and activist
Monique Haas (1909–1987), French pianist
Monique Melsen (born 1951), Luxembourgian singer
Monique Powell, singer for American ska band Save Ferris
Monique Rhodes, New Zealand singer, songwriter, and producer


=== Politics ===
Monique Cerisier-ben Guiga (born 1942), French politician
Monique D. Davis (born 1936), American politician
Monique Guay (born 1959), Quebec politician
Monique Iborra (born 1945), French politician
Monique Koeyers-Felida (1967–2016), Curaçaoan politician
Monique Landry (born 1937), Canadian politician
Monique Orphé (born 1964), French politician
Monique Papon (1934–2018), French politician
Monique Pauzé, Quebec politician
Monique Richard (born 1947), Quebec politician
Monique Smith (born c. 1965), Ontario politician
Monique Vézina (born 1935), Canadian politician
Monique de Vries (born 1947), Dutch politician
Monique Wilson (councilwoman), Saban politician


=== Sports ===
Monique Adamczak (born 1983), Australian professional tennis player
Monique Angermüller (born 1984), German speed skater
Monique de Bruin (born 1965), Dutch cyclist
Monique de Bruin (born 1977), American fencer
Monique Burkland (born 1989), American Paralympic volleyball player
Monique Cabral (born 1986), Trinidadian sprinter
Monique Conti (born 1999), Australian basketball player
Monique Drost (born 1964), Dutch swimmer
Monique van de Elzen (born 1976), New Zealand footballer
Monique Éwanjé-Épée (born 1967), French track and field athlete
Monique Ferreira (born 1980), Brazilian freestyle swimmer
Monique Garbrecht-Enfeldt (born 1968), German speed skater
Monique Gladding (born 1981), British diver
Monique Hennagan (born 1976), American track and field athlete
Monique Hirovanaa (born 1966), New Zealand rugby player
Monique Hoogland (born 1967), Dutch badminton player
Monique Iannella (born 1996), Australian professional footballer
Monique Jansen (born 1978), Dutch discus thrower
Monique Kauffmann (born 1963), Dutch road cyclist and speed skater
Monique Knol (born 1964), Dutch racing cyclist
Monique Leroux (1938–1985), French fencer
Monique Merrill (born 1969), American ski mountaineer and mountain biker
Monique Murphy (born 1994), Australian swimmer
Monique Olivier (born 1998), Luxembourgian swimmer
Monique Riekewald (born 1979), German skeleton racer
Monique Williams (born 1985), New Zealand sprinter
Monique de Wilt (born 1976), Dutch pole vaulter


=== Other fields ===
Monique Alexander (born 1982), American pornographic actress
Monique Bégin (born 1936), Canadian academic and former politician
Monique de Bissy (1923–2009), French-Belgian World War II resistance member
Monique Boekaerts (born 1946), Belgian educationalist
Monique Charbonneau (1928–2014), Canadian artist
Monique Ganderton (born 1980), Canadian stuntwoman
Monique Lhuillier (born 1971), Filipino-American fashion designer
Monique Péan (born c. 1981), American fine jewelry designer
Monique Pinçon-Charlot (born 1946), French sociologist
Monique Régimbald-Zeiber (born 1947), Canadian painter
Monique de Roux (born 1946), French painter and engraver
Monique Schwitter (born 1972), Swiss writer and actress
Monique Sené, French nuclear physicist
Monique Truong (born 1968), Vietnamese-American writer
Monique Vinh Thuy (born 1946), widow of Vietnamese emperor Bảo Đại
Monique Wadsted (born 1957), Swedish lawyer
Monique Wittig (1935–2003), French writer and feminist theorist
Monique Wright (born 1973), Australian journalist and television personality
Norodom Monineath (born 1936), queen mother of Cambodia, sometimes referred to as Queen Monique


=== Fictional characters ===
Monique, friend of Kim Possible
Monique, a cat villager from the video game series Animal Crossing
Monique Jeffries, character in American crime drama television series Law & Order: Special Victims Unit
Monique Pollier, Orson Hodge's deceased mistress in Desperate Housewives


== See also ==
Monica (given name)
All pages with titles beginning with Monique
All pages with titles containing Monique"
Inna_Zhelannaya,Russian singer-songwriter,singer,A,"Inna Yurievna Zhelannaya (Russian: Инна Юрьевна Желанная, February 20, 1965, Moscow) is a Russian singer-songwriter, best known as a frontwoman of the folk band Farlanders (1994-2004). == Biography ==
Inna Zhelannaya was born in Moscow and spent her childhood years in Zelenograd, where she studied at a musical school and sang in a choir led by her mother, Alla Yosifovna. After the graduation she joined the musical college in Elista, Kalmykia, then returned to Moscow to continue her education. As a student, she got interested in rock music and started writing her own songs. === Career ===
In 1985, Zhelannaya formed her first band, Focus, with Eduard Vokhmyanin. Two years later she became the leader of her own group, M-Depo. In 1989, Zhelannaya joined the well-known Moscow band Alliance and started collaborating with author and multi-instrumentalist Sergey Starostin, who introduced her to the Russian musical folklore and soon also joined the band. Alliance's album Sdelano v Belom (Made in White) was released in 1991 and won the Radio France International's Best East-European album award two years later. In 1994 the band travelled to France to take part in the concert for the Radio, but without the singer, as Inna Zhelannaya had left in 1992 to give birth to her child.In 1994 she re-emerged with her own band, Farlanders, joined by ex-Alliance members Sergey Kalachyov (bass), Sergey Klevensky (clarinet) and Sergey Starostin. In 1995 they released the album Vodorosl (Seeweed)."
Tessanne_Chin,Reggae fusion recording artist,singer,A,"Tessanne Amanda Chin (; born September 20, 1985) is a Jamaican recording artist, best known for winning Season 5 of NBC's reality TV singing competition The Voice as part of Adam Levine's team. She has opened for artists such as Patti Labelle, Peabo Bryson and Gladys Knight, and toured for three years with Jimmy Cliff. She is the younger sister of singer Tami Chynn. Her major label debut album, Count On My Love, was released on July 1, 2014, under Republic Records. == Early life ==
Chin was born in Kingston, Jamaica, and attended Mavisville Preparatory school. Her father, Richard Chin, is of Jamaican Chinese descent and her mother, Christine Chin, also a Jamaican national, is of English and African descent. Her parents were in a band called The Carnations and her older sister Tami Chynn is also a singer. Her cousin Jay Hall is a vocalist and guitarist with UK rockers Grassroutes (and previously The Royal Players), and Jay's brother Leon is a vocalist with ska-fusion act Electrik Custard. Tessanne was introduced to music at a very early age by her parents. Her mother was the trumpeter and singer in The Carnations and her father was the band's drummer."
Miklós_Vig,Hungarian musician,singer,A,"This is an alphabetical list of documentary films with Wikipedia articles. The earliest documentary listed is Fred Ott's Sneeze (1894), which is also the first motion picture ever copyrighted in North America. The term documentary was first used in 1926 by filmmaker John Grierson as a term to describe films that document reality. For other lists, see Category:Documentary films by country and Category:Documentaries by topic. == 0–9 ==


== A ==


== B ==


== C ==


== D ==


== E ==


== F ==


== G ==


== H ==


== I ==


== J ==


== K ==


== L ==


== M ==


== N ==


== O ==


== P ==


== Q ==


== R ==


== S ==


== T ==


== U ==


== V ==


== W ==


== X ==


== Y ==


== Z ==


== See also ==
List of environmental films
List of documentary films about agriculture


== References =="
